PARM =,MNET;SLAT;SLON,;SELV;TMPF,;SKNT;DRC,T;GUST;PM,SL;ALTI;D,WPF;RELH;,WTHR;P24I,,,,,,,,
STN,YYMMDD/HHMM,MNET,SLAT,SLON,SELV,TMPF,SKNT,DRCT,GUST,PMSL,ALTI,DWPF,RELH,WTHR,P24I
ZNP,20131012/0215,8,37.23,-112.87,1750,43.49,0.25,247,1.33,-9999,-9999,37.38,78.9,-9999,-9999
BGCO,20131012/0150,1,70.74,-22.65,10,26.6,4,330,-9999,-9999,30.18,23,86.04,-9999,-9999
BGGH,20131012/0150,1,64.19,-51.68,86,32,16,350,-9999,-9999,29.5,19.4,59.21,-9999,-9999
BGJN,20131012/0150,1,69.24,-51.06,25,26.6,6,30,-9999,-9999,29.8,17.6,68.34,-9999,-9999
BGKK,20131012/0150,1,65.57,-37.13,37,42.8,37,70,65,-9999,29.41,39.2,86.99,13,-9999
BGSF,20131012/0150,1,67.02,-50.69,53,30.2,7,60,-9999,-9999,29.8,19.4,63.7,-9999,-9999
BGTL,20131012/0158,1,76.53,-68.75,77,5.72,9,100,-9999,1017.6,30.08,-4.18,62.81,-9999,-9999
CYWE,20131012/0200,1,64.19,-114.08,368,32,11,300,-9999,1013.1,29.84,26.6,80.19,-9999,-9999
K04V,20131012/0212,1,38.1,-106.17,2385,37.4,7,350,-9999,-9999,30.13,26.6,64.66,-9999,-9999
K04W,20131012/0217,1,46.02,-92.9,309,69.8,12,150,24,-9999,29.63,51.8,52.83,-9999,-9999
K05U,20131012/0215,1,39.6,-116.01,1811,42.8,0,0,-9999,-9999,30.06,15.8,33.13,-9999,-9999
K06D,20131012/0215,1,48.88,-99.62,556,50,8,330,-9999,-9999,29.31,50,100,13,-9999
K08D,20131012/0215,1,48.3,-102.41,684,44.6,33,330,44,-9999,29.56,44.6,100,13,-9999
K0A9,20131012/0215,1,36.37,-82.17,486,57.2,0,0,-9999,-9999,30.06,53.6,87.75,-9999,-9999
K0CO,20131012/0208,1,39.79,-105.76,3807,19.4,18,290,27,-9999,30.19,10.4,67.42,-9999,-9999
K0E0,20131012/0215,1,34.99,-106.01,1889,41.9,7,300,-9999,-9999,30.1,28.76,59.31,-9999,-9999
K0F2,20131012/0215,1,33.6,-97.78,336,77,7,140,-9999,-9999,29.85,64.4,65.2,-9999,-9999
K0VG,20131012/0215,1,36.65,-83.22,430,57.2,0,0,-9999,-9999,30.08,53.6,87.75,-9999,-9999
K11R,20131012/0155,1,30.22,-96.37,94,80.6,6,140,-9999,-9999,29.91,73.4,78.82,-9999,-9999
K11R,20131012/0215,1,30.22,-96.37,94,80.24,7,140,-9999,-9999,29.92,74.3,82.2,-9999,-9999
K14Y,20131012/0215,1,45.9,-94.87,405,57.2,14,160,20,-9999,29.55,51.8,82.14,-9999,-9999
K19A,20131012/0215,1,34.18,-83.56,290,64.4,3,320,-9999,-9999,30,50,59.54,-9999,-9999
K1A5,20131012/0215,1,35.22,-83.42,616,51.8,0,0,-9999,-9999,30.09,49.82,92.93,-9999,-9999
K1A6,20131012/0215,1,36.61,-83.74,352,57.02,0,0,-9999,-9999,30.07,55.4,94.31,-9999,-9999
K1F0,20131012/0215,1,34.15,-97.12,257,73.4,4,150,-9999,-9999,29.85,66.2,78.24,-9999,-9999
K1H2,20131012/0215,1,39.07,-88.53,179,60.62,4,130,-9999,-9999,30,52.7,75.14,-9999,-9999
K1II,20131012/0215,1,39.34,-86.03,216,51.8,3,250,-9999,-9999,30.05,51.8,100,-9999,-9999
K1P1,20131012/0215,1,43.78,-71.75,154,42.08,0,0,-9999,-9999,30.2,41.54,97.94,31,-9999
K1R7,20131012/0215,1,31.61,-90.41,149,71.6,0,0,-9999,-9999,30.03,71.6,100,-9999,-9999
K1S3,20131012/0209,1,46.27,-106.62,831,46.4,11,280,20,-9999,29.98,33.8,61.27,-9999,-9999
K1S3,20131012/0219,1,46.27,-106.62,831,46.4,13,280,19,-9999,29.98,33.8,61.27,-9999,-9999
K20V,20131012/0216,1,40.05,-106.37,2259,35.6,3,230,-9999,-9999,30.12,32,86.58,-9999,-9999
K21D,20131012/0212,1,45,-92.85,282,69.8,14,150,21,-9999,29.68,53.6,56.44,-9999,-9999
K2C8,20131012/0215,1,48.78,-97.63,271,55.4,7,100,-9999,-9999,29.3,53.6,93.65,13,-9999
K2D5,20131012/0215,1,46.17,-98.08,407,50,20,240,30,-9999,29.41,48.2,93.5,-9999,-9999
K2DP,20131012/0201,1,35.67,-75.9,3,62.6,5,300,-9999,-9999,29.93,62.6,100,-9999,-9999
K2DP,20131012/0213,1,35.67,-75.9,3,62.6,4,290,-9999,-9999,29.94,62.6,100,-9999,-9999
K2G4,20131012/0215,1,39.58,-79.34,894,51.8,6,80,-9999,-9999,30.1,-9999,-9999,31,-9999
K2I0,20131012/0215,1,37.36,-87.4,134,63.14,0,0,-9999,-9999,30.02,61.34,93.86,-9999,-9999
K2J9,20131012/0155,1,30.6,-84.56,69,64.4,0,0,-9999,-9999,30.03,62.6,93.89,-9999,-9999
K2V5,20131012/0215,1,40.1,-102.24,1118,51.98,4,320,-9999,-9999,30.01,38.84,60.73,-9999,-9999
K2W6,20131012/0215,1,38.32,-76.55,44,62.6,0,0,-9999,-9999,29.96,60.8,93.84,-9999,-9999
K33V,20131012/0211,1,40.75,-106.28,2485,33.8,6,180,-9999,-9999,30.09,28.4,80.34,-9999,-9999
K36U,20131012/0215,1,40.48,-111.43,1718,42.8,0,0,-9999,-9999,30.08,30.2,60.77,-9999,-9999
K3I2,20131012/0215,1,38.91,-82.1,196,60.8,0,0,-9999,-9999,30.08,57.2,87.94,-9999,-9999
K3J7,20131012/0215,1,33.6,-83.14,206,64.4,0,0,-9999,-9999,29.96,59,82.65,-9999,-9999
K3LF,20131012/0215,1,39.16,-89.67,207,61.16,4,160,-9999,-9999,29.98,54.5,78.73,-9999,-9999
K3MW,20131012/0215,1,40.45,-106.75,3159,-9999,7,250,14,-9999,30.18,-9999,-9999,-9999,-9999
K3R7,20131012/0215,1,30.24,-92.67,7,74.12,3,170,-9999,-9999,29.97,71.6,91.87,-9999,-9999
K3T5,20131012/0215,1,29.91,-96.95,99,80.42,0,0,-9999,-9999,29.89,75.74,85.73,-9999,-9999
K40J,20131012/0215,1,30.07,-83.57,13,64.4,0,0,-9999,-9999,30.02,60.8,88.11,-9999,-9999
K42J,20131012/0215,1,29.84,-82.05,60,64.4,0,0,-9999,-9999,30.01,60.8,88.11,-9999,-9999
K46D,20131012/0215,1,47.45,-99.15,490,46.4,6,260,-9999,-9999,29.29,46.4,100,-9999,-9999
K4A6,20131012/0155,1,34.69,-86.01,198,59,0,0,-9999,-9999,30.04,57.2,93.75,-9999,-9999
K4A6,20131012/0215,1,34.69,-86.01,198,59,0,0,-9999,-9999,30.04,57.2,93.75,-9999,-9999
K4A9,20131012/0215,1,34.47,-85.72,267,55.4,0,0,-9999,-9999,30.04,53.6,93.65,-9999,-9999
K4I3,20131012/0221,1,40.33,-82.53,363,60.8,0,0,-9999,-9999,30.09,46.4,59.05,-9999,-9999
K4M9,20131012/0155,1,36.4,-90.65,89,62.6,6,130,-9999,-9999,29.97,60.8,93.84,-9999,-9999
K4O4,20131012/0215,1,33.91,-94.86,144,73.4,7,130,-9999,-9999,29.91,64.4,73.5,-9999,-9999
K5C1,20131012/0215,1,29.72,-98.69,422,77,3,120,-9999,-9999,29.91,68,73.85,-9999,-9999
